Samples,Pops,Long,Lat,wc2.1_30s_bio_1,TwaQ,wc2.1_30s_bio_11,wc2.1_30s_bio_12,PWQ,wc2.1_30s_bio_14,wc2.1_30s_bio_15,wc2.1_30s_bio_16,wc2.1_30s_bio_17,wc2.1_30s_bio_18,wc2.1_30s_bio_19,wc2.1_30s_bio_2,ISO,wc2.1_30s_bio_4,wc2.1_30s_bio_5,wc2.1_30s_bio_6,wc2.1_30s_bio_7,TweQ,wc2.1_30s_bio_9
pp10,LAR,-99.76531,27.72753,22.3833332061768,29.9833335876465,13.5666666030884,474,78,16,50.5529136657715,184,60,130,63,13.6666660308838,43.2489433288574,668.098815917969,37.2999992370605,5.69999980926514,31.5999984741211,26.8833332061768,15.6499996185303
pp15,LAR,-99.766531,27.72753,22.3833332061768,29.9833335876465,13.5666666030884,474,78,16,50.5529136657715,184,60,130,63,13.6666660308838,43.2489433288574,668.098815917969,37.2999992370605,5.69999980926514,31.5999984741211,26.8833332061768,15.6499996185303
pp18,LAR,-99.63509,27.62727,22.4541664123535,30.1166667938232,13.6333332061768,469,71,16,47.5437774658203,174,62,132,65,13.4250001907349,42.4841804504395,669.842102050781,37.2999992370605,5.69999980926514,31.5999984741211,27,15.6833333969116
pp19,LAR,-99.63509,27.62727,22.4541664123535,30.1166667938232,13.6333332061768,469,71,16,47.5437774658203,174,62,132,65,13.4250001907349,42.4841804504395,669.842102050781,37.2999992370605,5.69999980926514,31.5999984741211,27,15.6833333969116
pp22,LAR,-99.63509,27.62727,22.4541664123535,30.1166667938232,13.6333332061768,469,71,16,47.5437774658203,174,62,132,65,13.4250001907349,42.4841804504395,669.842102050781,37.2999992370605,5.69999980926514,31.5999984741211,27,15.6833333969116
pp23,LAR,-99.76346,27.72514,22.3833332061768,29.9833335876465,13.5666666030884,474,78,16,50.5529136657715,184,60,130,63,13.6666660308838,43.2489433288574,668.098815917969,37.2999992370605,5.69999980926514,31.5999984741211,26.8833332061768,15.6499996185303
pp24,LAR,-99.76346,27.72514,22.3833332061768,29.9833335876465,13.5666666030884,474,78,16,50.5529136657715,184,60,130,63,13.6666660308838,43.2489433288574,668.098815917969,37.2999992370605,5.69999980926514,31.5999984741211,26.8833332061768,15.6499996185303
pp27,LAR,-99.76346,27.72514,22.3833332061768,29.9833335876465,13.5666666030884,474,78,16,50.5529136657715,184,60,130,63,13.6666660308838,43.2489433288574,668.098815917969,37.2999992370605,5.69999980926514,31.5999984741211,26.8833332061768,15.6499996185303
pp30,LAR,-99.91772,27.91784,22.0208339691162,29.5833320617676,13.25,485,84,17,53.5010452270508,191,60,142,62,13.875,44.0476150512695,665.577209472656,36.9000015258789,5.40000009536743,31.5000019073486,26.5,14.0166664123535
pp32,LAR,-99.91772,27.91784,22.0208339691162,29.5833320617676,13.25,485,84,17,53.5010452270508,191,60,142,62,13.875,44.0476150512695,665.577209472656,36.9000015258789,5.40000009536743,31.5000019073486,26.5,14.0166664123535
pp33,LAR,-99.91772,27.91784,22.0208339691162,29.5833320617676,13.25,485,84,17,53.5010452270508,191,60,142,62,13.875,44.0476150512695,665.577209472656,36.9000015258789,5.40000009536743,31.5000019073486,26.5,14.0166664123535
